Ingrediente,Agua natural 600,Bagel,Berry Power Shake,Berry Titan Shake,Big Chow,Blue Thunder Chow,Boneless 12 pzas,Boneless 24 piezas,Boneless 6 pzas,Choco Chow Power,Choco Flan,Choco Flan (Rebanada),Choco banana,Choco fresa,Chow Chow Mood,Chow Power Shot,Coca 355ml,Cookie Power Shake,Cupcakes,Flan Napolitano,Flan Napolitano (Rebanada),Frappe Gansito,Frappe Mazapan,Frappe clásico,Frappe kinder delice,Frappe oreo,Fresas con crema,Fresas con crema + Gansito,Fresas con crema + Kinder,Golden Energy Flow,Malteada de chocolate,Malteada de fresa,Malteada de vainilla,Manzana Loca,Mega Peach,Mini Hotcakes Clásico (8pzas),Mini Hotcakes Delicioso (12pzas),Mini Hotcakes Premium (18pzas),Mini Hotcakes Super Especial  (15pzas),Mini Hotcakes Vasito  (8pzas),Pack Boneless 12 pzas,Pack Boneless 24 piezas,Pack Boneless 6 pzas,Papas Locas,Papas Locas c/cueritos,Psychotic Punch,Sandía Rush,Tostielotes,Venom Inferno,Waffle Chocomania,Waffle Clasico Dulce,Waffle Frutal Encanto,Waffle Tentacion
Aceite,,,,,,,,,,,1.0,0.08,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agua,,,,,,0.2,,,,,,,,,0.2,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,,0.2,,,,
Agua botella 600,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agua sanitaria,,,0.5,0.5,0.5,0.5,0.5,1.0,0.5,,,,,,0.5,0.5,,0.5,,,,0.5,0.5,0.5,0.5,0.5,,,,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,,,0.5,0.5,,0.5,0.5,0.5,0.5,0.5
Almeja 7x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
Almeja 8x8,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0
Amino BCAA 30 serv,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Amino Energy 65 serv,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Arandano deshidratado,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,
Avena,,,,10.0,50.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,30.0,,,,,10.0,9.2,13.8,20.7,17.25,9.2,,,,,,,,,,38.5,38.5,38.5,38.5
Azucar,,,,,,,,,,,0.3,0.02,,,,,,,,0.24,0.02,12.0,12.0,36.0,12.0,12.0,,,,,12.0,12.0,12.0,,,4.4,6.6,9.9,8.25,4.4,,,,,,,,,,18.5,18.5,18.5,18.5
Bagel,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boneless,,,,,,,360.0,720.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,720.0,180.0,,,,,,,,,,
Cacahuate Enchilado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,
Cacahuate Japones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,
Cacahuate Queso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,15.0,15.0,,,,,,,,
Cafe,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caja harina pastel betty,,,,,,,,,,,2.0,0.17,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cajita fresas,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,300.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,
Capacillos,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnation Clavel Leche Evaporada,,,,,,,,,,,679.8,56.65,,,,,,,,679.8,56.65,30.0,30.0,30.0,30.0,30.0,13.6,13.6,13.6,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate,,,,,,,,,,,,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coca Cola 355ml,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coca Cola 600ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
Comision vendedor,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,
Concentrado limon,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,10.0,,,,
Congelador,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,2.0,2.0,2.0,,,,,,,,,,
Contenedor Cristal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,
Contenedor Cristal Rectangular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Contenedor Rebanada,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contenedor de papel 8oz,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
Crema batida,,,,,,,,,,,,,,,,,,,0.68,,,56.88,56.88,56.88,56.88,56.88,,,,,56.88,56.88,56.88,,,,,,,,,,,,,,,,,,,,
Crema de cacahuate,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crema natural,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
Cueritos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,
Elote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Etiqueta BONBONPEACH,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Forritos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,
Freidora de aire,,,,,,,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,2.0,,,,,,,,,,
Fresa,,,50.0,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,50.0,50.0,50.0,50.0,,,,,,,,,,50.0,,50.0,50.0
GAT Creatina,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Galleta Oreo,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gansito,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Gas,,,,,,,,,,,120.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,,,,
Gasolina,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gomita Frutitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,15.0,15.0,,,,,,,,
Gomita Manguitos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,
Gomita Orugas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,15.0,15.0,,,,,,,,
Gomita Ositos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,
Gomitas Aro Durazno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,15.0,15.0,,,,,,,,
Gomitas Mangusano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,15.0,15.0,,,,,,,,
Gomitas Ositos Enchilados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,
Gomitas Osos Neon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,
Granillo chocolate diamante,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Granillo colores diamante,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harina Hot Cakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,30.0,45.0,37.5,20.0,,,,,,,,,,85.0,85.0,85.0,85.0
Helado de chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,,,,,,,,,,,,,,,,,,,,,,50.0
Helado de fresa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,,,,,,,,,,,,,,,,,,,,,50.0
Helado de vainilla,,,,,,,,,,,,,,,,,,,,,,226.0,,,226.0,226.0,,,,,,,339.0,,,,,,,,,,,,,,,,,,,,50.0
Hielo,,,,,,,,,,,,,,,50.0,,,,,,,125.0,125.0,125.0,125.0,125.0,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,
Huevo,,,,,,,,,,,6.0,0.5,,,,,,,0.14,10.0,0.83,,,,,,,,,,,,,,,0.32,0.48,0.72,0.6,0.32,,,,,,,,,,1.0,1.0,1.0,1.0
Jugo Naranja 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,
Kinder delice,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Leche Entera,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,18.4,27.6,41.4,34.5,18.4,,,,,,,,,,77.0,77.0,77.0,77.0
Leche deslactosada,,,,,,,,,,,2.0,0.17,,,,,,,0.06,,,0.24,0.24,0.24,0.24,0.24,,,,,0.24,0.24,0.24,,,,,,,,,,,,,,,,,,,,
Leche entera,,,,0.2,0.2,,,,,0.2,,,,,,,,0.2,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,
Lechera Leche Condensada,,,,,,,,,,,582.2,48.52,,,,,,,,568.2,48.52,,,,,,20.0,20.0,20.0,,,,,,,50.0,,,,50.0,,,,,,,,,,30.0,30.0,30.0,30.0
Luz,1.0,,1.0,1.0,1.0,1.0,4.0,8.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,8.0,12.0,4.0,,,1.0,1.0,,1.0,2.0,2.0,2.0,2.0
Manzana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Maquina,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0
Margarina Iberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,5.0,5.0,5.0,5.0
Mazapan grande,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metforce IsoProtein Vainilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Metforce Whey Chocolate,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metforce Whey Fresa,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miel,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,20.0,20.0
"Molde de 32cm (flan, chocoflan)",,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutant Whey Cookies,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Mutant Whey Fresa,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nestle Media Crema,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,
Nutella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,30.0,30.0
PAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,3.0,3.0,3.0,3.0
Palillo Brocheta,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papa Suelta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,
Papas a la francesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,300.0,100.0,,,,,,,,,,
Platano,,,,0.5,50.0,,,,,,,,150.0,,50.0,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,50.0,,50.0,50.0
Popote,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,
Popote Frappe,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Psychotic (pre),,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Refrigerador,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renta,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rexal polvo para hornear,,,,,,,,,,,6.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsa BBQ Hunts,,,,,,,100.0,200.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,200.0,50.0,,,,,,,,,,
Salsa Buffalo,,,,,,,100.0,200.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,200.0,50.0,,,,,,,,,,
Salsa Mango habanero,,,,,,,100.0,200.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,200.0,50.0,,,,,,,,,,
Servilleta,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Syrup Chocolate Hersheys 589 g,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Tapa vaso plastico,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,
Tenedor,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0
Tostitos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Vainilla,,,,,,,,,,,5.0,0.42,,,,,,,0.68,15.0,1.25,,5.0,,,,5.0,5.0,5.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,10.0,10.0,10.0,10.0
Vaso plastico 16oz,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,
Venom Inferno (pre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Yogur Griego Yoplait,,,100.0,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,
